# Engine name: 
# Thu Sep 4 20:43:00 2025
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.5000     90.0000      3.0000     10.0000      0.0000   1072.2572     15.7502      1.2739      1.1594   1183.2475    150.4693    181.1789      1.2471      1.5016      1.0000 
     0.5000     97.0000      3.0000     10.0000      0.0000   1076.9228     15.7759      1.2751      1.1599   1184.4639    152.9027    182.9437      1.2659      1.5147      1.0000 
     0.5000    104.0000      3.0000     10.0000      0.0000   1081.2966     15.7999      1.2762      1.1602   1185.5899    155.1241    184.5704      1.2831      1.5267      1.0000 
     0.5000    111.0000      3.0000     10.0000      0.0000   1085.4146     15.8227      1.2771      1.1606   1186.6373    157.1654    186.0780      1.2989      1.5378      1.0000 
     0.5000    118.0000      3.0000     10.0000      0.0000   1089.3065     15.8442      1.2781      1.1609   1187.6161    159.0519    187.4815      1.3134      1.5481      1.0000 
     0.5000    125.0000      3.0000     10.0000      0.0000   1092.9970     15.8647      1.2789      1.1613   1188.5342    160.8041    188.7938      1.3268      1.5577      1.0000 
     0.5000    132.0000      3.0000     10.0000      0.0000   1096.5071     15.8842      1.2797      1.1616   1189.3983    162.4386    190.0251      1.3393      1.5668      1.0000 
     0.5000    139.0000      3.0000     10.0000      0.0000   1099.8543     15.9029      1.2805      1.1618   1190.2142    163.9694    191.1844      1.3510      1.5752      1.0000 
     0.5000    146.0000      3.0000     10.0000      0.0000   1103.0538     15.9208      1.2812      1.1621   1190.9867    165.4081    192.2791      1.3620      1.5832      1.0000 
     0.5000    153.0000      3.0000     10.0000      0.0000   1106.1188     15.9379      1.2818      1.1624   1191.7199    166.7644    193.3157      1.3723      1.5908      1.0000 
     0.5000    160.0000      3.0000     10.0000      0.0000   1109.0607     15.9544      1.2825      1.1626   1192.4176    168.0467    194.2997      1.3820      1.5980      1.0000 
     0.5000    167.0000      3.0000     10.0000      0.0000   1111.8894     15.9703      1.2831      1.1629   1193.0827    169.2622    195.2358      1.3913      1.6048      1.0000 
     0.5000    174.0000      3.0000     10.0000      0.0000   1114.6138     15.9857      1.2837      1.1631   1193.7180    170.4170    196.1282      1.4000      1.6112      1.0000 
     0.5000    181.0000      3.0000     10.0000      0.0000   1117.2417     16.0005      1.2842      1.1633   1194.3259    171.5166    196.9807      1.4083      1.6174      1.0000 
     0.5000    188.0000      3.0000     10.0000      0.0000   1119.7800     16.0148      1.2847      1.1635   1194.9087    172.5657    197.7963      1.4163      1.6233      1.0000 
     0.5000    195.0000      3.0000     10.0000      0.0000   1122.2349     16.0287      1.2852      1.1637   1195.4681    173.5684    198.5781      1.4238      1.6290      1.0000 
     0.5000    202.0000      3.0000     10.0000      0.0000   1124.6121     16.0422      1.2857      1.1639   1196.0058    174.5284    199.3285      1.4310      1.6344      1.0000 
     0.5000    209.0000      3.0000     10.0000      0.0000   1126.9164     16.0553      1.2862      1.1641   1196.5235    175.4490    200.0498      1.4380      1.6396      1.0000 
