# Engine name: 
# Thu Sep 4 20:35:05 2025
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.5000     90.0000      3.0000     10.0000    900.2132   1110.6060     17.2946      1.2561      1.1407   1148.8780    146.0544    175.7830      1.2467      1.5005      1.0000 
     0.5000     97.0000      3.0000     10.0000    900.2132   1115.2128     17.3327      1.2574      1.1409   1149.9135    148.3853    177.4631      1.2655      1.5134      1.0000 
     0.5000    104.0000      3.0000     10.0000    900.2132   1119.5331     17.3686      1.2585      1.1411   1150.8742    150.5119    179.0112      1.2825      1.5254      1.0000 
     0.5000    111.0000      3.0000     10.0000    900.2132   1123.6023     17.4026      1.2596      1.1413   1151.7698    152.4649    180.4452      1.2981      1.5364      1.0000 
     0.5000    118.0000      3.0000     10.0000    900.2132   1127.4492     17.4348      1.2605      1.1415   1152.6085    154.2689    181.7797      1.3126      1.5466      1.0000 
     0.5000    125.0000      3.0000     10.0000    900.2132   1131.0981     17.4656      1.2615      1.1416   1153.3967    155.9435    183.0270      1.3259      1.5562      1.0000 
     0.5000    132.0000      3.0000     10.0000    900.2132   1134.5693     17.4950      1.2623      1.1417   1154.1402    157.5051    184.1970      1.3383      1.5651      1.0000 
     0.5000    139.0000      3.0000     10.0000    900.2132   1137.8801     17.5232      1.2631      1.1418   1154.8434    158.9669    185.2981      1.3499      1.5735      1.0000 
     0.5000    146.0000      3.0000     10.0000    900.2132   1141.0454     17.5503      1.2638      1.1420   1155.5105    160.3401    186.3376      1.3608      1.5814      1.0000 
     0.5000    153.0000      3.0000     10.0000    900.2132   1144.0780     17.5763      1.2645      1.1421   1156.1449    161.6341    187.3216      1.3710      1.5889      1.0000 
     0.5000    160.0000      3.0000     10.0000    900.2132   1146.9892     17.6014      1.2652      1.1422   1156.7494    162.8571    188.2553      1.3807      1.5960      1.0000 
     0.5000    167.0000      3.0000     10.0000    900.2132   1149.7887     17.6256      1.2658      1.1422   1157.3267    164.0160    189.1434      1.3898      1.6027      1.0000 
     0.5000    174.0000      3.0000     10.0000    900.2132   1152.4853     17.6489      1.2664      1.1423   1157.8791    165.1166    189.9898      1.3985      1.6091      1.0000 
     0.5000    181.0000      3.0000     10.0000    900.2132   1155.0864     17.6716      1.2670      1.1424   1158.4085    166.1643    190.7980      1.4067      1.6152      1.0000 
     0.5000    188.0000      3.0000     10.0000    900.2132   1157.5991     17.6935      1.2675      1.1425   1158.9167    167.1634    191.5712      1.4145      1.6211      1.0000 
     0.5000    195.0000      3.0000     10.0000    900.2132   1160.0293     17.7148      1.2680      1.1426   1159.4053    168.1182    192.3120      1.4220      1.6266      1.0000 
     0.5000    202.0000      3.0000     10.0000    900.2132   1162.3826     17.7354      1.2685      1.1426   1159.8757    169.0320    193.0230      1.4292      1.6320      1.0000 
     0.5000    209.0000      3.0000     10.0000    900.2132   1164.6639     17.7555      1.2690      1.1427   1160.3291    169.9080    193.7063      1.4360      1.6371      1.0000 
     0.5000    216.0000      3.0000     10.0000    900.2132   1166.8777     17.7751      1.2694      1.1427   1160.7667    170.7490    194.3638      1.4426      1.6421      1.0000 
     0.5000    223.0000      3.0000     10.0000    900.2132   1169.0280     17.7941      1.2698      1.1428   1161.1894    171.5576    194.9972      1.4489      1.6468      1.0000 
     0.5000    230.0000      3.0000     10.0000    900.2132   1171.1186     17.8126      1.2702      1.1429   1161.5983    172.3359    195.6083      1.4549      1.6514      1.0000 
     0.5000    237.0000      3.0000     10.0000    900.2132   1173.1528     17.8307      1.2706      1.1429   1161.9942    173.0861    196.1984      1.4608      1.6558      1.0000 
     0.5000    244.0000      3.0000     10.0000    900.2132   1175.1337     17.8484      1.2710      1.1430   1162.3778    173.8099    196.7688      1.4664      1.6601      1.0000 
     0.5000    251.0000      3.0000     10.0000    900.2132   1177.0642     17.8657      1.2713      1.1430   1162.7498    174.5090    197.3208      1.4718      1.6642      1.0000 
     0.5000    258.0000      3.0000     10.0000    900.2132   1178.9469     17.8825      1.2717      1.1430   1163.1109    175.1850    197.8554      1.4771      1.6682      1.0000 
     0.5000    265.0000      3.0000     10.0000    900.2132   1180.7842     17.8990      1.2720      1.1431   1163.4617    175.8391    198.3736      1.4821      1.6721      1.0000 
     0.5000    272.0000      3.0000     10.0000    900.2132   1182.5783     17.9152      1.2723      1.1431   1163.8027    176.4728    198.8763      1.4870      1.6758      1.0000 
     0.5000    279.0000      3.0000     10.0000    900.2132   1184.3313     17.9310      1.2726      1.1432   1164.1345    177.0871    199.3643      1.4918      1.6794      1.0000 
     0.5000    286.0000      3.0000     10.0000    900.2132   1186.0452     17.9465      1.2729      1.1432   1164.4575    177.6832    199.8386      1.4964      1.6830      1.0000 
     0.5000    293.0000      3.0000     10.0000    900.2132   1187.7216     17.9616      1.2732      1.1432   1164.7721    178.2619    200.2997      1.5009      1.6864      1.0000 
     0.5000    300.0000      3.0000     10.0000    900.2132   1189.3624     17.9765      1.2735      1.1432   1165.0787    178.8243    200.7483      1.5052      1.6897      1.0000 
     0.5000    307.0000      3.0000     10.0000    900.2132   1190.9689     17.9911      1.2737      1.1433   1165.3777    179.3712    201.1851      1.5094      1.6930      1.0000 
     0.5000    314.0000      3.0000     10.0000    900.2132   1192.5428     18.0055      1.2740      1.1433   1165.6695    179.9032    201.6106      1.5135      1.6961      1.0000 
     0.5000    321.0000      3.0000     10.0000    900.2132   1194.0853     18.0195      1.2742      1.1433   1165.9544    180.4213    202.0253      1.5175      1.6992      1.0000 
     0.5000    328.0000      3.0000     10.0000    900.2132   1195.5978     18.0334      1.2745      1.1434   1166.2327    180.9260    202.4298      1.5214      1.7022      1.0000 
     0.5000    335.0000      3.0000     10.0000    900.2132   1197.0814     18.0469      1.2747      1.1434   1166.5047    181.4179    202.8245      1.5252      1.7051      1.0000 
     0.5000    342.0000      3.0000     10.0000    900.2132   1198.5372     18.0603      1.2749      1.1434   1166.7706    181.8977    203.2099      1.5288      1.7080      1.0000 
     0.5000    349.0000      3.0000     10.0000    900.2132   1199.9663     18.0734      1.2751      1.1434   1167.0306    182.3659    203.5863      1.5324      1.7108      1.0000 
     0.5000    356.0000      3.0000     10.0000    900.2132   1201.3698     18.0863      1.2753      1.1434   1167.2852    182.8230    203.9542      1.5359      1.7135      1.0000 
     0.5000    363.0000      3.0000     10.0000    900.2132   1202.7486     18.0991      1.2755      1.1435   1167.5343    183.2695    204.3138      1.5394      1.7161      1.0000 
     0.5000    370.0000      3.0000     10.0000    900.2132   1204.1035     18.1116      1.2757      1.1435   1167.7783    183.7058    204.6656      1.5427      1.7187      1.0000 
     0.5000    377.0000      3.0000     10.0000    900.2132   1205.4353     18.1239      1.2759      1.1435   1168.0174    184.1324    205.0099      1.5460      1.7213      1.0000 
     0.5000    384.0000      3.0000     10.0000    900.2132   1206.7450     18.1360      1.2761      1.1435   1168.2517    184.5497    205.3468      1.5492      1.7237      1.0000 
     0.5000    391.0000      3.0000     10.0000    900.2132   1208.0333     18.1480      1.2763      1.1435   1168.4815    184.9579    205.6769      1.5523      1.7262      1.0000 
     0.5000    398.0000      3.0000     10.0000    900.2132   1209.3008     18.1597      1.2765      1.1435   1168.7068    185.3576    206.0002      1.5553      1.7286      1.0000 
     0.5000    405.0000      3.0000     10.0000    900.2132   1210.5483     18.1713      1.2766      1.1436   1168.9278    185.7490    206.3170      1.5583      1.7309      1.0000 
     0.5000    412.0000      3.0000     10.0000    900.2132   1211.7764     18.1828      1.2768      1.1436   1169.1448    186.1324    206.6277      1.5613      1.7332      1.0000 
     0.5000    419.0000      3.0000     10.0000    900.2132   1212.9858     18.1940      1.2770      1.1436   1169.3577    186.5081    206.9323      1.5641      1.7354      1.0000 
     0.5000    426.0000      3.0000     10.0000    900.2132   1214.1769     18.2052      1.2771      1.1436   1169.5669    186.8764    207.2312      1.5669      1.7376      1.0000 
     0.5000    433.0000      3.0000     10.0000    900.2132   1215.3504     18.2162      1.2773      1.1436   1169.7723    187.2377    207.5244      1.5697      1.7398      1.0000 
     0.5000    440.0000      3.0000     10.0000    900.2132   1216.5069     18.2270      1.2774      1.1436   1169.9742    187.5920    207.8123      1.5724      1.7419      1.0000 
     0.5000    447.0000      3.0000     10.0000    900.2132   1217.6467     18.2377      1.2776      1.1436   1170.1725    187.9397    208.0950      1.5750      1.7439      1.0000 
     0.5000    454.0000      3.0000     10.0000    900.2132   1218.7705     18.2482      1.2777      1.1436   1170.3676    188.2810    208.3727      1.5776      1.7460      1.0000 
     0.5000    461.0000      3.0000     10.0000    900.2132   1219.8786     18.2586      1.2778      1.1436   1170.5593    188.6161    208.6455      1.5802      1.7480      1.0000 
     0.5000    468.0000      3.0000     10.0000    900.2132   1220.9715     18.2689      1.2780      1.1437   1170.7479    188.9452    208.9136      1.5827      1.7499      1.0000 
     0.5000    475.0000      3.0000     10.0000    900.2132   1222.0497     18.2791      1.2781      1.1437   1170.9335    189.2686    209.1771      1.5851      1.7519      1.0000 
     0.5000    482.0000      3.0000     10.0000    900.2132   1223.1136     18.2891      1.2782      1.1437   1171.1161    189.5863    209.4363      1.5876      1.7538      1.0000 
     0.5000    489.0000      3.0000     10.0000    900.2132   1224.1635     18.2991      1.2783      1.1437   1171.2958    189.8986    209.6911      1.5899      1.7556      1.0000 
     0.5000    496.0000      3.0000     10.0000    900.2132   1225.1998     18.3089      1.2785      1.1437   1171.4727    190.2057    209.9418      1.5923      1.7575      1.0000 
     0.5000    503.0000      3.0000     10.0000    900.2132   1226.2229     18.3186      1.2786      1.1437   1171.6469    190.5077    210.1885      1.5945      1.7593      1.0000 
     0.5000    510.0000      3.0000     10.0000    900.2132   1227.2331     18.3281      1.2787      1.1437   1171.8185    190.8047    210.4313      1.5968      1.7610      1.0000 
     0.5000    517.0000      3.0000     10.0000    900.2132   1228.2308     18.3376      1.2788      1.1437   1171.9875    191.0969    210.6703      1.5990      1.7628      1.0000 
     0.5000    524.0000      3.0000     10.0000    900.2132   1229.2162     18.3470      1.2789      1.1437   1172.1541    191.3846    210.9056      1.6012      1.7645      1.0000 
     0.5000    531.0000      3.0000     10.0000    900.2132   1230.1898     18.3562      1.2790      1.1437   1172.3182    191.6676    211.1373      1.6033      1.7662      1.0000 
     0.5000    538.0000      3.0000     10.0000    900.2132   1231.1517     18.3654      1.2791      1.1437   1172.4799    191.9464    211.3656      1.6054      1.7679      1.0000 
     0.5500     90.0000      3.0000     10.0000    905.0002   1133.2696     16.9263      1.2525      1.1471   1171.0812    148.8679    179.0986      1.2466      1.4998      1.0000 
     0.5500     97.0000      3.0000     10.0000    905.0002   1137.9296     16.9614      1.2538      1.1473   1172.1879    151.2447    180.8132      1.2653      1.5127      1.0000 
     0.5500    104.0000      3.0000     10.0000    905.0002   1142.3018     16.9946      1.2551      1.1475   1173.2154    153.4132    182.3934      1.2823      1.5246      1.0000 
     0.5500    111.0000      3.0000     10.0000    905.0002   1146.4214     17.0260      1.2562      1.1476   1174.1739    155.4051    183.8573      1.2979      1.5356      1.0000 
     0.5500    118.0000      3.0000     10.0000    905.0002   1150.3176     17.0558      1.2573      1.1478   1175.0719    157.2450    185.2200      1.3123      1.5458      1.0000 
     0.5500    125.0000      3.0000     10.0000    905.0002   1154.0145     17.0843      1.2583      1.1479   1175.9165    158.9533    186.4937      1.3256      1.5553      1.0000 
     0.5500    132.0000      3.0000     10.0000    905.0002   1157.5327     17.1116      1.2592      1.1480   1176.7135    160.5463    187.6886      1.3380      1.5642      1.0000 
     0.5500    139.0000      3.0000     10.0000    905.0002   1160.8894     17.1377      1.2601      1.1482   1177.4678    162.0376    188.8133      1.3495      1.5725      1.0000 
     0.5500    146.0000      3.0000     10.0000    905.0002   1164.0996     17.1628      1.2609      1.1483   1178.1837    163.4387    189.8752      1.3604      1.5804      1.0000 
     0.5500    153.0000      3.0000     10.0000    905.0002   1167.1762     17.1869      1.2617      1.1484   1178.8647    164.7591    190.8805      1.3706      1.5879      1.0000 
     0.5500    160.0000      3.0000     10.0000    905.0002   1170.1304     17.2102      1.2624      1.1485   1179.5141    166.0071    191.8346      1.3802      1.5949      1.0000 
     0.5500    167.0000      3.0000     10.0000    905.0002   1172.9721     17.2326      1.2631      1.1486   1180.1345    167.1898    192.7421      1.3893      1.6016      1.0000 
     0.5500    174.0000      3.0000     10.0000    905.0002   1175.7101     17.2543      1.2638      1.1487   1180.7283    168.3131    193.6071      1.3979      1.6080      1.0000 
     0.5500    181.0000      3.0000     10.0000    905.0002   1178.3518     17.2754      1.2645      1.1487   1181.2977    169.3824    194.4332      1.4061      1.6141      1.0000 
     0.5500    188.0000      3.0000     10.0000    905.0002   1180.9044     17.2958      1.2651      1.1488   1181.8446    170.4023    195.2235      1.4140      1.6199      1.0000 
     0.5500    195.0000      3.0000     10.0000    905.0002   1183.3738     17.3155      1.2656      1.1489   1182.3705    171.3769    195.9809      1.4214      1.6255      1.0000 
     0.5500    202.0000      3.0000     10.0000    905.0002   1185.7656     17.3348      1.2662      1.1490   1182.8770    172.3097    196.7077      1.4285      1.6308      1.0000 
     0.5500    209.0000      3.0000     10.0000    905.0002   1188.0847     17.3535      1.2667      1.1490   1183.3654    173.2041    197.4063      1.4354      1.6359      1.0000 
     0.5500    216.0000      3.0000     10.0000    905.0002   1190.3357     17.3717      1.2672      1.1491   1183.8369    174.0628    198.0786      1.4419      1.6408      1.0000 
     0.5500    223.0000      3.0000     10.0000    905.0002   1192.5227     17.3894      1.2677      1.1491   1184.2927    174.8884    198.7264      1.4482      1.6456      1.0000 
     0.5500    230.0000      3.0000     10.0000    905.0002   1194.6493     17.4067      1.2682      1.1492   1184.7336    175.6831    199.3513      1.4542      1.6501      1.0000 
     0.5500    237.0000      3.0000     10.0000    905.0002   1196.7191     17.4235      1.2686      1.1492   1185.1606    176.4491    199.9548      1.4600      1.6545      1.0000 
     0.5500    244.0000      3.0000     10.0000    905.0002   1198.7350     17.4400      1.2691      1.1493   1185.5745    177.1883    200.5382      1.4656      1.6588      1.0000 
     0.5500    251.0000      3.0000     10.0000    905.0002   1200.6999     17.4561      1.2695      1.1493   1185.9761    177.9023    201.1028      1.4710      1.6629      1.0000 
     0.5500    258.0000      3.0000     10.0000    905.0002   1202.6166     17.4718      1.2699      1.1494   1186.3660    178.5926    201.6497      1.4763      1.6669      1.0000 
     0.5500    265.0000      3.0000     10.0000    905.0002   1204.4874     17.4872      1.2703      1.1494   1186.7450    179.2608    202.1798      1.4813      1.6707      1.0000 
     0.5500    272.0000      3.0000     10.0000    905.0002   1206.3146     17.5023      1.2707      1.1495   1187.1134    179.9080    202.6941      1.4862      1.6744      1.0000 
     0.5500    279.0000      3.0000     10.0000    905.0002   1208.1002     17.5171      1.2710      1.1495   1187.4720    180.5355    203.1934      1.4909      1.6781      1.0000 
     0.5500    286.0000      3.0000     10.0000    905.0002   1209.8462     17.5315      1.2714      1.1495   1187.8211    181.1444    203.6786      1.4955      1.6816      1.0000 
     0.5500    293.0000      3.0000     10.0000    905.0002   1211.5544     17.5457      1.2717      1.1496   1188.1613    181.7357    204.1505      1.5000      1.6850      1.0000 
     0.5500    300.0000      3.0000     10.0000    905.0002   1213.2265     17.5596      1.2721      1.1496   1188.4930    182.3102    204.6095      1.5043      1.6883      1.0000 
     0.5500    307.0000      3.0000     10.0000    905.0002   1214.8641     17.5733      1.2724      1.1496   1188.8166    182.8689    205.0565      1.5085      1.6915      1.0000 
     0.5500    314.0000      3.0000     10.0000    905.0002   1216.4686     17.5867      1.2727      1.1497   1189.1324    183.4125    205.4920      1.5126      1.6947      1.0000 
     0.5500    321.0000      3.0000     10.0000    905.0002   1218.0413     17.5998      1.2730      1.1497   1189.4409    183.9418    205.9164      1.5166      1.6977      1.0000 
     0.5500    328.0000      3.0000     10.0000    905.0002   1219.5837     17.6127      1.2733      1.1497   1189.7422    184.4575    206.3305      1.5204      1.7007      1.0000 
     0.5500    335.0000      3.0000     10.0000    905.0002   1221.0968     17.6255      1.2736      1.1498   1190.0368    184.9601    206.7345      1.5242      1.7036      1.0000 
     0.5500    342.0000      3.0000     10.0000    905.0002   1222.5818     17.6379      1.2738      1.1498   1190.3249    185.4504    207.1289      1.5279      1.7065      1.0000 
     0.5500    349.0000      3.0000     10.0000    905.0002   1224.0398     17.6502      1.2741      1.1498   1190.6067    185.9289    207.5143      1.5314      1.7092      1.0000 
     0.5500    356.0000      3.0000     10.0000    905.0002   1225.4719     17.6623      1.2744      1.1498   1190.8826    186.3960    207.8909      1.5349      1.7119      1.0000 
     0.5500    363.0000      3.0000     10.0000    905.0002   1226.8789     17.6742      1.2746      1.1498   1191.1528    186.8523    208.2591      1.5383      1.7146      1.0000 
     0.5500    370.0000      3.0000     10.0000    905.0002   1228.2617     17.6859      1.2749      1.1499   1191.4174    187.2982    208.6192      1.5417      1.7172      1.0000 
     0.5500    377.0000      3.0000     10.0000    905.0002   1229.6213     17.6975      1.2751      1.1499   1191.6768    187.7342    208.9717      1.5449      1.7197      1.0000 
     0.5500    384.0000      3.0000     10.0000    905.0002   1230.9584     17.7088      1.2753      1.1499   1191.9310    188.1607    209.3167      1.5481      1.7222      1.0000 
     0.5500    391.0000      3.0000     10.0000    905.0002   1232.2737     17.7200      1.2756      1.1499   1192.1803    188.5780    209.6546      1.5512      1.7246      1.0000 
